CODEBUCH,
,
Wert,Kommentar
,
edgelist,
from,"definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort"
to ,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. "
relation,Art der Verbindung Vorstandsmitglied/Präsident (1) Mitglied des Aufsichtsrates/Präsidiums (2) Mitglied (3) Sponsor (4)  
weight,"Position innerhalb der relation und Gewichtung dieser. Niedrige Position, z.B. Mitglied/Nebensponsor (1) bis Hohe Position, z.B. Vorstand/Hauptsponsor (3)"
,
nodelist,
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.  "
name,Name oder Bezeichnung des Knotens. 
type,dichotome Ausprägung: Person (1) und Organisation (2)
sex,dichotome Ausprägung: male (1) und female (2)
education,Bildungsgrad  Schulabschluss (1) Studium (2) Promotion (3)
,
NA,definiert fehlende Werte
